author,company
Sherri L. Smith,Tom's Guide
Frank Reese,Kinglink Reviews
PJ O'Reilly,Pure Xbox
Sean  Cahill,Gaming Nexus
Martin Černický,SomHráč.sk
Óscar Sánchez,Areajugones
Joseph Siemsen,Marooners' Rock
Will Borger,GamingBolt
Tony Polanco,PCMag
Rubén Rionegro,33bits
Adam Cook,God is a Geek
Eden Penketh,The Digital Fix
Juan García,IGN Spain
Chris O'Connor,Impulsegamer
Arne Cito,GameZone
Lou Sytsma,COGconnected
James Davenport,PC Gamer
Daniele Di Egidio,Player.it
Jordan Baranowski,GameSkinny
Alejandro Alcolea Huertos,Hobby Consolas
Branislav Kohút,SECTOR.sk
Steven Wong,PC Invasion
Brandon Adams,Attack of the Fanboy
Cole Watson,CGMagazine
Geoffrey Tim,Critical Hit
Denny Connolly,Game Rant
Paolo Besser,The Games Machine
Christopher Teuton,Screen Rant
Ben Walker,Daily Star
Sam White,PCGamesN
Bogdan Robert,GameWatcher
Jason Moth,BossLevelGamer
James Bentley,The Outerhaven Productions
Jakub Smolak,Gamerweb.pl
Chase Ferrin,cublikefoot
Peter Taylor,Jump Dash Roll
Jacob Hegarty,Explosion Network
Alan Murilo Pereira Duque,GameBlast
Scott Ellison II,Saving Content
Robert Yatco,UnGeek
Marc-Antoine Bergeron Cote,Geeks & Com
David Carcasole,PlayStation Universe
Greg Wheeler,TheReviewGeek
Mohammad Talebian,BaziCenter
Eser Güven,Oyungezer Online
James Ide,Daily Mirror
Abdul Saad,Impulsegamer
John Cantees,GamingBolt
Logan Moore,ComicBook.com
Lorenzo Quadrini,Tom's Hardware Italia
Dani Maddox,Siliconera
Jorge Loureiro,Eurogamer.pt
Krzysztof Mysiak,GRYOnline.pl
Erica Mura,The Games Machine
Phil Hornshaw,GameSpot
Jordan Middler,VGC
Stefan L,TheSixthAxis
Olly Smith,GameByte
Diego Perez,Attack of the Fanboy
Luuc ten Velde,XGN.nl
Lillian King,COGconnected
Natalie Lindner,Screen Rant
Hubert Sosnowski,GRYOnline.pl
Seongho Moon,IGN Korea
Filipe Mesquita,Game Forces PT
Javad Mohseni,BaziCenter
Basil Frank,RedTieGuy
Impozible Julin,NoesPaisparaFrikis
Rob Pitt,GamePitt
Cosmin Vasile,Softpedia
Jake Arias,Killa Penguin
Abdul Saad,GamingTrend
Muhammad Ali Bari,Twisted Voxel
Steve Farrelly,AusGamers
Rob Larkin,Gaming Nexus
P-A Knutsson,M3
Andrew Thornton,Hey Poor Player
Matt Lorrigan,Xbox Achievements
Mahdi Maleki,Gamefa
Theo Weber,XGN.nl
Eren Eroğlu,Merlin'in Kazanı
Toby Andersen,FingerGuns
Travis Bruno,Capsule Computers
Sarah LeBoeuf,Tom's Guide
Aarsal Masoodi,XboxEra
Kyle Simcox,The Outerhaven Productions
Casey David Muir-Taylor,Sirus Gaming
Andrea Maiellano,Tom's Hardware Italia
Cody Gravelle,Screen Rant
Vahid Zohrabi Nejad,Bazimag
Terrence Johnson,ZTGD
Daniel Hollis,Pure Xbox
Sebastián Domínguez,SomosXbox
Charles Hartford,But Why Tho?
Ahmet Özçilingir,Merlin'in Kazanı
Casey Scheld,Gamers Heroes
Dan Hastings,Nerdburglars
Richard Bouvier,Rebel Gaming Canada
Thom Compton,Cubed3
محسن وزیری,Zoomg
Juraj Malíček,SECTOR.sk
Jonathan Gordon,games(TM)
Morgan Davies,GameSpew
Randy Kalista,Gaming Nexus
"Uros ""Vader"" Pavlovic",ActionTrip
Jack Yarwood,The Digital Fix
Keith Milburn,NZGamer
Peter Paras,Game Revolution
Mateusz Gołąb,PPE.pl
Hannah Douglass,Gameplanet
Emin Çıtak,Merlin'in Kazanı
Chandler Wood,PlayStation LifeStyle
Erik Kain,Forbes
Jed Pressgrove,Slant Magazine
Ben Dutka,PSX Extreme
Alessandro Barbosa,Critical Hit
Jason Torfin,Pixel Dynamo
Paweł Musiolik,PPE.pl
Myles Gann,The Game Fanatics
Marty Sliva,IGN
Dakoda Barker,Impulsegamer
Matt Whittaker,Hardcore Gamer
Kevin VanOrd,GameSpot
Neil Bolt,PlayStation Universe
Ben Skipper,IBTimes UK
Alberto Lloret,Hobby Consolas
Jim Sterling,The Jimquisition
Giannis Archontidis,Enternity.gr
Cody Medellin,Worth Playing
Peter Dragula,SECTOR.sk
Daniel Villagrasa,SomosXbox
Paulo Roberto Montanaro,PSX Brasil
Will Silberman,Digital Chumps
Wojciech Gruszczyk,PPE.pl
Khari Taylor,CGMagazine
Ralph Beentjes,XGN.nl
Chris White,God is a Geek
Gabriel Fuentes,Generación Xbox
Sam Comrie,JumpCut PLAY
"Cassie Peterson,Ron Burke",GamingTrend
Dalton Cooper,Game Rant
Bahram Bigharaz,BaziCenter
Chris Shive,Hardcore Gamer
Daniele Dolce,The Games Machine
Shubhankar Parijat,GamingBolt
Toby Berger,Press Start
Cade Onder,ComicBook.com
Gareth Chadwick,TheSixthAxis
Ewan Paterson,Screen Rant
Sammy Barker,Push Square
Álvaro Alonso,Hobby Consolas
Matt Purslow,PCGamesN
Tom Olson,PC Aficionado
Dymox,Red Value Gaming
Stuart Andrews,TrustedReviews
Maurice Pogue,Geeks Under Grace
Lexuzze Tablante,Sirus Gaming
Joshua Wright,Impulsegamer
Dominic Sheard,DarkZero
Reid McCarter,CGMagazine
Sandy Kirchner-Wilson,Cubed3
Ville Polvela,Fintendo
Amirmehdi Namjoo,Gamefa
David Fialho,Echo Boomer
Luis Alamilla,Luis Alamilla
Darryl Edge,Cultured Vultures
Garland Pan,Darkstation
Aaron Potter,MSPoweruser
Alan Stock,ComiConverse
Eddie Stubbington,Gaming Masters
Wyzzlex,Videospielkombinat
Tim McDonald,PC Invasion
Isaac López,Spoil Everything
Elijah Beahm,GameSkinny
Eric Van Allen,GamingTrend
Joseph Trotter,VGChartz
Gabriele Aroni,RPG Italia
Andrew Barker,RPG Fan
Brendan Griffiths,Dealspwn
Rishi Alwani,Gadgets 360
Luciano Howard,The Digital Fix
Chris Breault,Kill Screen
Eric Layman,Digital Chumps
Max Parker,Pittsburgh Post-Gazette
Albert Lichi,Cubed3
Mike Splechta,GameZone
رضا حاج‌محمدی,Zoomg
Tim Reid,New Game Network
Hayden Dingman,PCWorld
Artura Dawn,GameGrin
Matt Gerardi,The A.V. Club
Gabriel Carli,The Game is a Lie
Josh Speer,oprainfall
Anthony Bacchus,COGconnected
A.J. Maciejewski,Video Chums
LJ Lowery,Geeks Under Grace
Ian Howarth,DarkZero
Allen Reynolds,Attack of the Fanboy
Khurram Imtiaz,GearNuke
David Sanchez,GameCrate
Josh Hinke,New Game Network
Chris Davis,CDavis_Games
