id,text,url_media,quantity_likes,quantity_retweets,quantity_quotes,quantity_replys,timestamp,twitter_account_id
0,The Limited Run Games physical edition of Shadow Complex Remastered is now playable via backwards compatibility for Playstation 5! The PS4 digital version is also backwards compatible. https://t.co/4XlkUxAKzJ,,188,29,7,21,2021-03-15T17:48:22.000Z,0
1,Our team has patched Shadow Complex Remastered for PS4 and it's now playable on PlayStation 5! ðŸ‘,,1399,175,60,94,2020-11-19T18:58:44.000Z,0
2,Kick the Monday blues with Shadow Complex Remastered! On sale for just $5 on the Playstation store: https://t.co/qZI6Rerdqs https://t.co/xLyl9R1C0F,,9,3,0,3,2018-07-23T14:22:50.000Z,0
3,Start the weekend early! Grab Shadow Complex Remastered for less than $5 dollars on the Playstation store: https://t.co/qZI6Rerdqs https://t.co/0QN9LogtSh,,5,2,0,1,2018-07-19T18:13:30.000Z,0
4,Spend your summer with Shadow Complex Remastered! Now on Xbox Game Pass: https://t.co/DgFXqeVSEM https://t.co/9JnfP0dRfo,,7,0,0,1,2018-07-02T20:10:24.000Z,0
5,Jump into the complex with Xbox Game Pass! https://t.co/YI0Ehfrjs7,,3,0,0,0,2018-07-01T22:06:05.000Z,0
6,Shadow Complex Remastered is now available on Xbox Game Pass. Come play: https://t.co/DgFXqeVSEM https://t.co/LaDJe5Hf3G,,2,2,0,0,2018-07-01T16:25:49.000Z,0
7,Shadow Complex Remastered will be joining Xbox Game Pass on July 1st! https://t.co/Cj4tAxaTS0,,3,0,0,0,2018-06-27T15:56:02.000Z,0
8,Don't miss your chance to get Shadow Complex Remastered for only $5! Play it on Xbox today: https://t.co/2HI08E3tpN https://t.co/I7QTjt3SUz,,2,1,0,0,2018-05-28T18:00:53.000Z,0
9,Kick off the long weekend with Shadow Complex Remastered! Grab it on Xbox for $5 NOW: https://t.co/2HI08E3tpN https://t.co/QDgc4EvI9G,,2,0,1,0,2018-05-26T18:00:18.000Z,0
10,Ready to jump back into the complex? Grab Shadow Complex Remastered for a crisp $5 on Xbox today! https://t.co/2HI08E3tpN https://t.co/RhfdJbaLLk,,1,0,0,0,2018-05-24T15:13:01.000Z,0
11,Kick off your summer gaming with Shadow Complex Remastered - grab it for less than $5 on Xbox NOW! https://t.co/2HI08E3tpN https://t.co/VMetVxa1Gv,,1,0,1,0,2018-05-22T16:41:16.000Z,0
12,It's your LAST CHANCE to grab Shadow Complex Remastered for just $5 on Steam - don't miss out! https://t.co/oUafibMrJU https://t.co/6cavUwgvXi,,1,0,1,0,2018-01-03T16:11:04.000Z,0
13,Happy New Year! Celebrate with Shadow Complex for just $5 on Steam: https://t.co/oUafibMrJU https://t.co/1iOlu6SuJH,,0,0,0,0,2018-01-01T19:00:11.000Z,0
14,Head into the new year with Shadow Complex Remastered! Only $5 on Steam: https://t.co/oUafibMrJU https://t.co/9TSJbp9tUa,,2,2,0,1,2017-12-31T19:00:13.000Z,0
15,Snag Shadow Complex Remastered for just $5 on Steam: https://t.co/oUafibMrJU https://t.co/mQs4yW1x8y,,1,0,0,0,2017-12-30T19:00:33.000Z,0
16,Shadow Complex Remastered is only $5 on Steam! Grab it here: https://t.co/oUafibMrJU https://t.co/WL1BkonBaC,,1,0,0,0,2017-12-29T19:00:24.000Z,0
17,"Stay Gold, Jason. Shadow Complex Remastered is on sale for $5 on Steam: https://t.co/oUafibMrJU https://t.co/WZJtOkeAIn",,1,0,0,0,2017-12-28T19:00:29.000Z,0
18,Leap to your computer - Shadow Complex Remastered is only $5 on Steam! https://t.co/oUafic42Bs https://t.co/VOk9rTuQza,,2,2,0,0,2017-12-27T19:00:36.000Z,0
19,Spend some of your holiday break in the complex! Shadow Complex Remastered is only $5 on Steam: https://t.co/oUafibMrJU https://t.co/LvVNdu5IVi,,1,0,0,0,2017-12-26T19:00:21.000Z,0
20,Hide out from the carolers with Shadow Complex Remastered - only $5 on Steam! https://t.co/oUafibMrJU https://t.co/2ETdVi4a5N,,2,0,0,0,2017-12-24T19:00:15.000Z,0
21,Jason will be home for Christmas ... if he can make it out of the complex in time. #JasonCrosby https://t.co/3D1MomCQhZ,,1,0,0,0,2017-12-23T19:00:37.000Z,0
22,Give the gift of Shadow Complex Remastered - only $5 on Steam! https://t.co/oUafibMrJU https://t.co/s6MxGUJD6d,,2,0,0,0,2017-12-23T17:00:26.000Z,0
23,"Spend some of your holiday break with Shadow Complex Remastered, on sale for just $5 on Steam! https://t.co/oUafibMrJU https://t.co/Nz89oPx1nz",,1,0,0,0,2017-12-22T19:00:21.000Z,0
24,Deck the halls of the complex - Shadow Complex Remastered is $5 on Steam! https://t.co/oUafibMrJU https://t.co/1UlDeTWIVv,,3,1,1,0,2017-12-21T19:00:24.000Z,0
25,"RT @ChAIRGAMES: On the last day of ChAIR Christmas, we're giving away a special fan pack! Follow and RT for a chance to win, open to U.S. râ€¦",,0,156,0,0,2017-12-19T19:58:37.000Z,0
26,Today is the LAST DAY of ChAIR's 12 Days of Christmas! Don't miss our final prize - head over to the @ChAIRGames Twitter! https://t.co/0uaBgDROBi,,1,0,0,0,2017-12-19T18:01:51.000Z,0
27,"ChAIR's 12 Days of Christmas will be running through the weekend, so don't forget to check the @ChAIRGames Twitter on Saturday and Sunday for more awesome giveaways! https://t.co/p4gnVgFkLA",,1,0,0,0,2017-12-15T16:52:41.000Z,0
