author,date,comment
Óscar Sánchez,2019-12-02T00:00:00.000Z,"‎Red Dead Redemption 2 is something we've never seen before on PC, it's really a next-generation game that makes us think about what's still to be achieved in the world of video games. It is currently the most 'beautiful' work at a graphic level that we can find, because there is nothing that looks better in a high-performance team. Rockstar has managed to achieve a graphic quality ahead of its time with this RDR 2.‎"
Álvaro Alonso,2021-12-16T00:00:00.000Z,"‎A great expansion, loaded with content and with the level of quality, playable variety and sense of humor that we would expect from a story DLC for GTA V, only weighed down by being within GTA Online.‎"
Aarsal Masoodi,2021-08-12T00:00:00.000Z,"Hades has perfected several elements of the rogue-like genre and does a banging job on the rest. It is, by far, the best game of its type that I’ve played. But don’t let the words “rogue-like” scare you off – it is made in such a way that it is appealing to both fans and non-fans of the genre alike.

Hades is a game I firmly believe anyone even remotely interested should play. I guarantee that you won’t regret your time in The Underworld."
Abdul Saad,2022-01-14T00:00:00.000Z,"All in all, there isn't much else to say about the God of War PC port. The game runs better than on any other platform and is decked out with all the settings imaginable with bonus content to boot. Replaying through the grand adventure that is Kratos and Atreus' story was also a delight. So if you're a hardcore fan of God of War like I am or have never played the game, then I implore you to do so on PC if possible as its so far the most optimal way to play it."
Abdul Saad,2021-08-19T00:00:00.000Z,Hades is a fantastic game and is really worth all the acclaim and praise its received thus far. The game's amazing ability to both engage and challenge you is worthy of applaud and the now that the game is available on all platforms many more players will be able to enjoy this spectacular title.
Adam Cook,2019-11-25T00:00:00.000Z,"Once upon a time people would overuse the word ""epic"", but it's a phrase truly befitting of Rockstar's brilliant Red Dead Redemption 2."
Ahmet Özçilingir,2019-06-28T04:00:00.000Z,"Great game, spectacular, unique and incredible atmosphere"
Alan Murilo Pereira Duque,2022-01-21T00:00:00.000Z,"God of War is one of the best games of all time, and one of the few that I would rate as essential for any gamer. The impeccable PC adaptation makes this the definitive version of this modern classic and the perfect appetizer for a certain Ragnarök that is approaching this year. Unmissable."
Alberto Lloret,2015-07-22T00:00:00.000Z,"‎If you are one of those who did not play it on PS3, you have before you a unique adventure of its kind, of those that without words says it all. And if you have it, thanks to the Cross-Buy you can enjoy it on PS4 without costs and with visual improvements. The remasters like that, YES.‎"
Alejandro Alcolea Huertos,2019-11-13T00:00:00.000Z,"Red Dead Redemption 2 on PC expands what we saw on consoles a year ago. It brings new content for the campaign in the form of new weapons and missions, as well as a very entertaining photo mode. Technically it's superb and the mouse+keyboard control fits like a glove."
Alessandro Barbosa,2015-07-24T04:00:00.000Z,"Pulling on emotional strings throughout, Journey is every bit the masterpiece on PS4 that it was on PS3. It's an emphatic example of art, sound and design working in complete harmony together, creating a piece of digital art that just begs to be experienced. Journey is nearly flawless, and will remain so until the end of time."
Amirmehdi Namjoo,2019-10-23T00:00:00.000Z,"After about 4 years, The Witcher 3 is still a great RPG game. The amount of content in this game is simply huge. This amount of content, along with deep gameplay mechanics, astounding visual art and dulcet music coupled with epic tracks make this game fantastic. The Switch port is a technical achievement for the developers and also looks good if you want to play in handheld mode, but it has some notable differences with other platforms that especially make the game, not the best option. If you need the portability of Switch for this game, then don’t hesitate and buy it, but for playing this on a TV or monitor, I suggest going with other platforms"
